OrderID;OrderDate;CustomerID;CustomerName;State;ZipCode;Brand;ProductID;ProductName;Category;SKU;Quantity;UnitPrice;Discount;TotalPrice;PaymentMethod;SalesChannel;ShippingCost
ORD000001;3/9/2025;C8067;Cliente_86560;IN;56103;Under Armour;P001;Gorra;Accesorios;P001-6127;1;26,72;4,01;22,71;Gift Card;Retail;11,66
ORD000002;6/7/2024;C4029;Cliente_77154;MO;96564;Ping;P003;Palo Driver;Palos;P003-1472;1;360,05;0;360,05;Apple Pay;Online;5,41
ORD000003;1/1/2024;C1581;Cliente_12113;WV;73569;Callaway;P001;Gorra;Accesorios;P001-2614;1;28,48;2,85;25,63;Gift Card;Retail;3,53
ORD000004;16/9/2024;C2295;Cliente_64548;NH;95390;Ping;P008;Camiseta;Ropa;P008-8544;1;45,19;0;45,19;Gift Card;Online;8,35
ORD000005;12/2/2024;C8374;Cliente_15854;KY;72193;Cobra;P005;Guante;Accesorios;P005-2450;3;22,52;0;67,56;PayPal;Online;6,54
ORD000006;21/3/2025;C5940;Cliente_77560;AZ;47753;Callaway;P001;Gorra;Accesorios;P001-1213;1;29,20;0;29,2;Apple Pay;Retail;7,2
ORD000007;9/5/2025;C7757;Cliente_92270;NC;58889;TaylorMade;P002;Pelotas;Accesorios;P002-7421;1;20,11;0;20,11;Credit Card;Retail;0
ORD000008;14/7/2024;C2059;Cliente_99272;AR;36525;Under Armour;P001;Gorra;Accesorios;P001-8903;1;27,62;0;27,62;Credit Card;Retail;10,83
ORD000009;30/12/2024;C3783;Cliente_87298;CO;99007;FootJoy;P005;Guante;Accesorios;P005-4269;1;20,65;0;20,65;PayPal;Online;11,03
ORD000010;12/11/2023;C4593;Cliente_35956;SC;55764;Under Armour;P005;Guante;Accesorios;P005-1185;2;22,88;0;45,76;Apple Pay;Online;7,24
ORD000011;15/12/2023;C9371;Cliente_27505;AR;47252;Under Armour;P004;Palo Hierro;Palos;P004-3305;1;145,81;0;145,81;Apple Pay;Retail;6,07
ORD000012;29/7/2023;C6801;Cliente_10258;ID;55742;Ping;P001;Gorra;Accesorios;P001-7992;2;25,48;0;50,96;Gift Card;Online;7,79
ORD000013;31/3/2025;C1337;Cliente_40367;VT;94489;TaylorMade;P002;Pelotas;Accesorios;P002-3733;1;19,27;0;19,27;Apple Pay;Retail;8,24
ORD000014;18/7/2023;C1300;Cliente_30901;CT;76296;Ping;P001;Gorra;Accesorios;P001-8371;1;26,14;0;26,14;Gift Card;Online;8,5
ORD000015;4/10/2023;C6050;Cliente_68820;NH;17081;Under Armour;P003;Palo Driver;Palos;P003-3031;1;431,11;0;431,11;Gift Card;Online;8,14
ORD000016;18/2/2024;C2017;Cliente_45135;MI;58032;Ping;P002;Pelotas;Accesorios;P002-5796;1;19,96;0;19,96;Gift Card;Online;9,93
ORD000017;25/5/2025;C1406;Cliente_39460;ND;42275;Callaway;P005;Guante;Accesorios;P005-7925;3;23,25;0;69,75;Gift Card;Online;7,63
ORD000018;12/6/2025;C7433;Cliente_15110;ND;95539;Cobra;P003;Palo Driver;Palos;P003-5864;1;390,71;0;390,71;Credit Card;Online;11,67
ORD000019;8/5/2023;C7977;Cliente_74233;AK;15356;Callaway;P006;Zapatos;Calzado;P006-1745;1;145,99;0;145,99;Gift Card;Online;6,49
ORD000020;4/5/2025;C2885;Cliente_45058;UT;85005;Cobra;P001;Gorra;Accesorios;P001-2170;1;28,68;0;28,68;Credit Card;Online;3,76
ORD000021;14/10/2025;C6911;Cliente_73762;FL;83717;TaylorMade;P001;Gorra;Accesorios;P001-6226;1;28,85;0;28,85;Apple Pay;Online;9,75
ORD000022;13/10/2025;C7071;Cliente_11270;NM;10965;Titleist;P005;Guante;Accesorios;P005-7478;1;23,13;0;23,13;Apple Pay;Online;13,37
ORD000023;26/4/2025;C8098;Cliente_23454;NH;41518;Ping;P001;Gorra;Accesorios;P001-7401;1;29,87;0;29,87;Gift Card;Online;10,26
ORD000024;16/5/2023;C4941;Cliente_67527;UT;13415;Cobra;P001;Gorra;Accesorios;P001-3885;1;28,24;0;28,24;PayPal;Online;3,22
ORD000025;2/4/2024;C9129;Cliente_65814;IL;26001;Titleist;P001;Gorra;Accesorios;P001-7977;2;29,38;0;58,76;Credit Card;Online;3,36
ORD000026;25/4/2023;C8535;Cliente_26084;SD;70935;Cobra;P001;Gorra;Accesorios;P001-5171;3;29,73;0;89,19;Apple Pay;Online;3,1
ORD000027;19/8/2024;C3636;Cliente_17586;AR;13808;TaylorMade;P001;Gorra;Accesorios;P001-6322;2;30,56;0;61,12;Credit Card;Online;7,91
ORD000028;3/2/2023;C6947;Cliente_86855;CA;12593;FootJoy;P001;Gorra;Accesorios;P001-8344;2;27,53;0;55,06;Credit Card;Retail;0
ORD000029;8/9/2025;C5951;Cliente_26843;MI;96118;Nike Golf;P008;Camiseta;Ropa;P008-6708;3;43,04;0;129,12;Gift Card;Retail;0
ORD000030;27/12/2023;C1570;Cliente_87450;ME;66854;Cobra;P001;Gorra;Accesorios;P001-1546;1;28,04;0;28,04;Credit Card;Retail;7,3
ORD000031;1/3/2024;C7041;Cliente_28195;AZ;82719;Callaway;P001;Gorra;Accesorios;P001-4335;1;28,52;0;28,52;Gift Card;Retail;5,52
ORD000032;28/1/2024;C2091;Cliente_47298;AL;48745;Nike Golf;P002;Pelotas;Accesorios;P002-4213;1;19,39;0;19,39;Credit Card;Online;13,93
ORD000033;10/10/2024;C6075;Cliente_26178;IN;20015;Titleist;P001;Gorra;Accesorios;P001-6895;1;28,31;0;28,31;Gift Card;Retail;0
ORD000034;10/7/2023;C2410;Cliente_68731;WY;17764;Titleist;P001;Gorra;Accesorios;P001-4918;1;28,80;1,44;27,36;Apple Pay;Online;12,7
ORD000035;22/1/2023;C9155;Cliente_57377;RI;20959;Nike Golf;P004;Palo Hierro;Palos;P004-7214;1;156,48;7,82;148,66;PayPal;Retail;4,23
ORD000036;6/9/2024;C9225;Cliente_50104;FL;80775;Ping;P009;Pantalones;Ropa;P009-5992;1;64,85;0;64,85;Apple Pay;Online;9,22
ORD000037;6/5/2024;C7597;Cliente_72445;PA;64974;Callaway;P001;Gorra;Accesorios;P001-2098;1;28,43;0;28,43;Gift Card;Wholesale;9,59
ORD000038;9/1/2025;C4605;Cliente_71454;MN;60853;Callaway;P001;Gorra;Accesorios;P001-2419;1;28,75;0;28,75;Gift Card;Retail;0
ORD000039;28/5/2024;C5317;Cliente_14136;VT;55798;Ping;P004;Palo Hierro;Palos;P004-9668;1;156,45;0;156,45;Apple Pay;Online;9,4
ORD000040;7/8/2023;C8322;Cliente_42819;NY;94984;Titleist;P001;Gorra;Accesorios;P001-8403;1;27,35;1,37;25,98;Apple Pay;Online;7,01
ORD000041;7/2/2024;C1496;Cliente_82906;VA;96223;Nike Golf;P002;Pelotas;Accesorios;P002-6512;2;20,87;3,13;38,61;Credit Card;Online;7,88
ORD000042;5/4/2023;C1100;Cliente_70678;WY;63546;Ping;P004;Palo Hierro;Palos;P004-1210;1;146,73;0;146,73;Apple Pay;Online;5,09
ORD000043;22/10/2023;C8298;Cliente_81652;OH;13059;TaylorMade;P005;Guante;Accesorios;P005-4867;2;22,71;0;45,42;Credit Card;Retail;0
ORD000044;10/1/2024;C2853;Cliente_72749;VT;54638;Cobra;P009;Pantalones;Ropa;P009-6102;1;65,69;0;65,69;Gift Card;Online;5,85
ORD000045;23/6/2025;C4004;Cliente_68229;OR;60625;FootJoy;P001;Gorra;Accesorios;P001-9039;1;28,42;0;28,42;Apple Pay;Online;5,74
ORD000046;1/6/2023;C6505;Cliente_82805;NM;74277;Nike Golf;P002;Pelotas;Accesorios;P002-1877;4;21,06;0;84,24;Credit Card;Online;6,46
ORD000047;23/9/2024;C2939;Cliente_11558;MS;83116;Callaway;P001;Gorra;Accesorios;P001-4035;1;28,39;0;28,39;Apple Pay;Online;7,61
ORD000048;22/9/2025;C3535;Cliente_54269;ND;71162;Under Armour;P007;Bolsa de golf;Bolsas;P007-2839;1;193,92;0;193,92;PayPal;Online;8,81
ORD000049;30/7/2024;C4242;Cliente_25933;TN;37877;Cobra;P004;Palo Hierro;Palos;P004-3283;1;158,15;0;158,15;Apple Pay;Retail;8,6
ORD000050;6/2/2025;C7723;Cliente_29086;CA;24702;Cobra;P007;Bolsa de golf;Bolsas;P007-7817;1;195,22;0;195,22;Gift Card;Online;12,17
ORD000051;18/5/2023;C7438;Cliente_42489;IL;74380;Cobra;P001;Gorra;Accesorios;P001-7078;1;28,97;0;28,97;PayPal;Retail;7,21
ORD000052;20/4/2024;C1114;Cliente_82430;LA;78028;Under Armour;P001;Gorra;Accesorios;P001-3864;1;29,02;0;29,02;Apple Pay;Retail;0
ORD000053;5/10/2023;C8793;Cliente_44695;GA;52062;Ping;P001;Gorra;Accesorios;P001-1823;2;28,56;0;57,12;Gift Card;Online;6,95
