TransactionID,Date,CustomerID,City,State,Region,StoreID,ProductCategory,ProductName,ProductID,Quantity,UnitPrice,TotalSale,PaymentMethod,SalesRep,Discount,Season,Membership
1,2023-11-15,20818,Atlanta,Georgia,South,5,Pantalones,Pantalones Golf,P1092,2,165.41,317.59,Tarjeta Crédito,Rep_3,0.04,Spring,Gold
2,2023-10-04,22336,Rochester,New York,Northeast,6,Polos,Polos Golf,P8300,2,97.96,154.78,PayPal,Rep_11,0.21,Winter,None
3,2023-04-06,41629,Tampa,Florida,South,22,Gorras,Gorras Golf,P8382,1,102.41,72.71,Efectivo,Rep_7,0.29,Summer,Platinum
4,2023-03-23,88115,San Diego,California,West,24,Polos,Polos Golf,P5250,1,174.54,127.41,PayPal,Rep_16,0.27,Winter,Silver
5,2023-10-23,83080,San Antonio,Texas,South,9,Gorras,Gorras Golf,P2342,5,76.51,336.64,PayPal,Rep_7,0.12,Summer,Silver
6,2023-05-22,39324,Albany,New York,Northeast,43,Guantes,Guantes Golf,P6442,4,103.66,364.88,Tarjeta Débito,Rep_10,0.12,Winter,Platinum
7,2023-11-08,16069,Orlando,Florida,South,25,Zapatos,Zapatos Golf,P6777,2,125.07,182.6,PayPal,Rep_10,0.27,Winter,Silver
8,2023-06-09,43141,Phoenix,Arizona,West,38,Guantes,Guantes Golf,P1419,3,74.2,222.6,Efectivo,Rep_4,0.0,Spring,Silver
9,2023-03-16,33930,Savannah,Georgia,South,50,Pantalones,Pantalones Golf,P6868,2,119.04,188.08,PayPal,Rep_18,0.21,Spring,Platinum
10,2023-05-08,94933,San Antonio,Texas,South,7,Pantalones,Pantalones Golf,P1155,2,140.16,210.24,Tarjeta Crédito,Rep_7,0.25,Summer,Gold
11,2023-01-13,15071,Albany,New York,Northeast,48,Gorras,Gorras Golf,P4358,3,85.73,180.03,Efectivo,Rep_1,0.3,Winter,Silver
12,2023-05-03,15039,Naperville,Illinois,Midwest,41,Zapatos,Zapatos Golf,P6218,2,23.43,44.05,PayPal,Rep_8,0.06,Spring,Platinum
13,2023-03-05,52214,San Francisco,California,West,7,Pantalones,Pantalones Golf,P3628,5,25.52,117.39,PayPal,Rep_11,0.08,Spring,Silver
14,2023-04-23,98150,New York City,New York,Northeast,5,Pantalones,Pantalones Golf,P5938,4,136.83,509.01,Efectivo,Rep_11,0.07,Fall,Platinum
15,2023-06-13,48461,Miami,Florida,South,38,Polos,Polos Golf,P4068,1,59.65,59.05,Tarjeta Crédito,Rep_12,0.01,Spring,Silver
16,2023-07-19,54316,Savannah,Georgia,South,21,Polos,Polos Golf,P3699,5,146.44,563.79,Efectivo,Rep_8,0.23,Winter,Silver
17,2023-05-03,54064,Jacksonville,Florida,South,12,Gorras,Gorras Golf,P5940,4,90.15,256.03,PayPal,Rep_7,0.29,Fall,Silver
18,2023-08-06,46634,Atlanta,Georgia,South,21,Gorras,Gorras Golf,P1904,4,132.24,465.48,Tarjeta Crédito,Rep_14,0.12,Winter,Platinum
19,2023-11-01,63252,Albany,New York,Northeast,44,Zapatos,Zapatos Golf,P8706,3,111.26,313.75,Tarjeta Crédito,Rep_18,0.06,Winter,None
20,2023-10-20,91208,Houston,Texas,South,45,Gorras,Gorras Golf,P6901,4,33.26,125.06,PayPal,Rep_12,0.06,Summer,None
21,2023-02-01,62980,Austin,Texas,South,13,Gorras,Gorras Golf,P5651,1,197.0,171.39,Tarjeta Débito,Rep_14,0.13,Winter,Gold
22,2023-11-07,89018,Atlanta,Georgia,South,5,Polos,Polos Golf,P3236,2,57.04,81.0,Tarjeta Crédito,Rep_19,0.29,Summer,Gold
23,2023-06-17,80338,New York City,New York,Northeast,7,Guantes,Guantes Golf,P6070,3,131.02,365.55,Tarjeta Crédito,Rep_12,0.07,Winter,Gold
24,2023-12-31,21690,Reno,Nevada,West,17,Gorras,Gorras Golf,P5275,1,131.23,120.73,Tarjeta Débito,Rep_12,0.08,Summer,Silver
25,2023-04-16,86947,Chicago,Illinois,Midwest,8,Guantes,Guantes Golf,P4244,5,128.86,502.55,Tarjeta Crédito,Rep_8,0.22,Spring,None
26,2023-11-01,97904,Springfield,Illinois,Midwest,46,Gorras,Gorras Golf,P2798,4,101.87,362.66,Tarjeta Débito,Rep_17,0.11,Spring,Silver
27,2023-04-04,52594,Carson City,Nevada,West,44,Gorras,Gorras Golf,P1826,3,183.98,513.3,PayPal,Rep_18,0.07,Summer,Gold
28,2023-07-01,85124,Reno,Nevada,West,37,Pantalones,Pantalones Golf,P2046,5,192.34,750.13,Tarjeta Débito,Rep_6,0.22,Spring,Silver
29,2023-02-28,24173,Miami,Florida,South,42,Pantalones,Pantalones Golf,P4204,5,88.51,402.72,Efectivo,Rep_13,0.09,Summer,Gold
30,2023-08-06,70368,New York City,New York,Northeast,24,Gorras,Gorras Golf,P4803,1,95.6,92.73,Tarjeta Débito,Rep_12,0.03,Winter,Platinum
31,2023-02-24,95842,Orlando,Florida,South,41,Gorras,Gorras Golf,P8004,4,21.77,66.18,PayPal,Rep_6,0.24,Winter,None
32,2023-11-18,71948,Carson City,Nevada,West,38,Zapatos,Zapatos Golf,P3457,1,154.57,131.38,PayPal,Rep_14,0.15,Winter,Silver
33,2023-06-25,27362,Peoria,Illinois,Midwest,47,Guantes,Guantes Golf,P4464,1,61.1,55.6,Tarjeta Débito,Rep_5,0.09,Winter,None
34,2023-06-09,43211,Rochester,New York,Northeast,48,Guantes,Guantes Golf,P4633,3,21.08,56.28,Tarjeta Crédito,Rep_19,0.11,Fall,None
35,2023-11-25,61969,Chicago,Illinois,Midwest,6,Zapatos,Zapatos Golf,P2262,1,40.54,38.51,Tarjeta Débito,Rep_10,0.05,Spring,None
36,2023-06-14,42305,Springfield,Illinois,Midwest,8,Guantes,Guantes Golf,P2853,5,150.57,557.11,Tarjeta Débito,Rep_6,0.26,Summer,Gold
37,2023-10-07,67368,Chicago,Illinois,Midwest,13,Guantes,Guantes Golf,P9995,4,64.36,244.57,Tarjeta Débito,Rep_14,0.05,Spring,Silver
38,2023-12-12,53259,Miami,Florida,South,4,Guantes,Guantes Golf,P6207,4,109.08,370.87,Efectivo,Rep_10,0.15,Winter,None
39,2023-11-21,68987,Augusta,Georgia,South,49,Guantes,Guantes Golf,P5421,4,105.72,359.45,PayPal,Rep_16,0.15,Winter,Gold
40,2023-05-30,62038,San Antonio,Texas,South,38,Guantes,Guantes Golf,P9414,1,154.69,148.5,Tarjeta Débito,Rep_20,0.04,Summer,Platinum
41,2023-10-22,81426,Tucson,Arizona,West,27,Guantes,Guantes Golf,P1510,4,90.05,298.97,Efectivo,Rep_12,0.17,Winter,None
42,2023-04-16,94634,Dallas,Texas,South,38,Polos,Polos Golf,P8329,2,82.67,148.81,Tarjeta Crédito,Rep_1,0.1,Summer,None
